words	labels	sentence_id
Crescentia	B	0
cujete	I	0
L	O	0
Etimología:	O	1
Phoenix	O	1
=	O	1
el	O	1
nombre	O	1
griego	O	1
de	O	1
la	O	1
palmera	B	1
datilera	I	1
Son	O	2
de	O	2
color	O	2
glauco,	O	2
sobre	O	2
todo	O	2
cuando	O	2
jóvenes,	O	2
y	O	2
tienen	O	2
el	O	2
nervio	O	2
central	O	2
marcado	O	2
Cono	O	3
erecto,	O	3
cilíndrico,	O	3
de	O	3
8-10	O	3
cm	O	3
de	O	3
longitud,	O	3
a	O	3
menudo	O	3
de	O	3
color	O	3
verde	O	3
purpúreo	O	3
antes	O	3
de	O	3
la	O	3
madurez	O	3
Wigandia	B	4
caracasana	I	4
Familia:	O	5
Meliaceae	O	5
Nombre	O	5
común:	O	5
Falsa	B	5
lima	I	5
Etimología:	O	6
Gleditsia,	O	6
dedicado	O	6
a	O	6
J	O	6
Nombre	O	7
común:	O	7
Palmera	B	7
de	I	7
abanico	I	7
china	I	7
Familia:	O	8
Cupressaceae	B	8
Sinónimos:	I	8
Cupressus	I	8
lambertiana	O	8
Carrière	O	8
Nombre	O	8
común:	O	8
Ciprés	O	8
de	O	8
Monterrey	O	8
Lugar	O	8
de	O	8
origen:	O	8
Es	O	8
nativo	O	8
de	O	8
la	O	8
Bahía	O	8
de	O	8
Monterrey	O	8
en	O	8
California	O	8
(EE	O	8
Irvine	B	9
Familia:	I	9
Arecaceae	I	9
(Palmae)	O	9
Nombre	O	9
común:	O	9
Palmera	B	9
cola	I	9
de	I	9
zorro	I	9
(traducción	O	9
literal)	O	9
Foxtail	O	9
Palm	O	9
Lugar	O	9
de	O	9
origen:	O	9
noreste	O	9
de	O	9
Australia	O	9
Familia:	O	10
Euphorbiaceae	O	10
Nombre	O	10
común:	O	10
Árbol	B	10
de	I	10
los	I	10
dedos	I	10
Gottlieb	O	11
Gleditsch,	O	11
profesor	O	11
de	O	11
Botánica	O	11
en	O	11
Berlín	O	11
en	O	11
el	O	11
siglo	O	11
XVIII	O	11
Zonas	O	12
7	O	12
a	O	12
9	O	12
AESCULUS	O	12
X	O	12
CARNEA	O	12
Hayne	O	12
Familia:	O	12
Hippocastanaceae	O	12
Nombre	O	12
común:	O	12
Falso	B	12
castaño	I	12
de	O	12
flor	O	12
roja	O	12
Lugar	O	12
de	O	12
origen:	O	12
Híbrido	O	12
Etimología:	O	12
Aesculus	O	12
es	O	12
el	O	12
nombre	O	12
latino	O	12
de	O	12
una	O	12
encina	O	12
Zona	O	13
10-11	O	13
LEUCAENA	B	13
LEUCOCEPHALA	I	13
(Lam	O	13
Areca	B	14
catechu	I	14
Arenga	O	14
engleri	O	14
Artocarpus	O	14
altilis	O	14
Artocarpus	O	14
heterophyllus	O	14
Attalea	O	14
speciosa	O	14
Averrhoa	B	14
carambola	I	14
Banksia	O	14
integrifolia	O	14
Bauhinia	O	14
forficata	O	14
Bauhinia	O	14
x	O	14
blakeana	O	14
Bauhinia	O	14
variegata	O	14
Beccariophoenix	O	14
madagascariensis	O	14
Bencomia	B	14
caudata	I	14
Bentinckia	O	14
nicobarica	O	14
Betula	B	14
pendula	I	14
Bismarckia	B	14
nobilis	I	14
Bixa	O	14
orellana	O	14
Brachychiton	O	14
acerifolius	O	14
Brachychiton	O	14
bidwillii	O	14
Brachychiton	O	14
discolor	O	14
Brachychiton	O	14
populneus	O	14
Brachychiton	O	14
rupestris	O	14
Brahea	O	14
armata	O	14
Brahea	O	14
edulis	O	14
Broussonetia	O	14
papyrifera	O	14
Brownea	O	14
grandiceps	O	14
Bumelia	O	14
lycioides	O	14
Butia	O	14
capitata	O	14
Butia	O	14
eriospatha	O	14
Byrsonima	B	14
crassifolia	I	14
Caesalpinia	O	14
pulcherrima	O	14
Caesalpinia	O	14
spinosa	O	14
Calliandra	O	14
haematocephala	O	14
Calliandra	O	14
surinamensis	O	14
Calliandra	O	14
tweedii	O	14
Callistemon	O	14
viminalis	O	14
Calocedrus	O	14
decurrens	O	14
Camellia	O	14
japonica	O	14
Carica	B	14
papaya	I	14
Carica	O	14
quercifolia	O	14
Carica	O	14
x	O	14
heilbornii	O	14
Carpinus	O	14
betulus	O	14
Carya	O	14
cordiformis	O	14
Carya	O	14
illinoinensis	O	14
Caryota	B	14
mitis	I	14
Caryota	B	14
urens	I	14
Casimiroa	B	14
edulis	I	14
Cassia	B	14
fistula	I	14
Cassia	O	14
spectabilis	O	14
Cassine	O	14
orientalis	O	14
Casuarina	O	14
cunninghamiana	O	14
Casuarina	B	14
equisetifolia	I	14
Catalpa	O	14
bignonioides	O	14
Catalpa	O	14
ovata	O	14
Cedrela	B	14
odorata	I	14
Cedrela	O	14
sinensis	O	14
Cedrus	O	14
atlantica	O	14
Cedrus	O	14
deodara	O	14
Cedrus	O	14
libani	O	14
Ceiba	B	14
pentandra	I	14
Celtis	B	14
australis	I	14
Celtis	O	14
caucasica	O	14
Celtis	O	14
occidentalis	O	14
Cephalotaxus	O	14
fortunei	O	14
Cephalotaxus	O	14
harringtonia	O	14
Ceratonia	B	14
siliqua	I	14
Cercidiphyllum	O	14
japonicum	O	14
Cercis	O	14
siliquastrum	O	14
Chamaecyparis	O	14
lawsoniana	O	14
Chamaecyparis	O	14
nootkatensis	O	14
Chamaedorea	B	14
costaricana	I	14
Chamaedorea	B	14
elegans	I	14
Chamaerops	O	14
humilis	O	14
Chorisia	O	14
insignis	O	14
